field_1,Beheertype,Ned_naam_NDFF,Wet_naam_NDFF_oud,Wet_naam_NDFF_nieuw,ndff_taxon_uri_oud,ndff_taxon_uri_nieuw,Gewijzigd,Unnamed: 0,ned_naam,wet_naam,identity,group_identity,ned_soortgroep,wet_soortgroep
"564",N06.02,Parnassia,Parnassia palustris,Parnassia palustris,http://ndff-ecogrid.nl/taxonomy/taxa/parnassiapalustris,http://ndff-ecogrid.nl/taxonomy/taxa/parnassiapalustris,NEE,"59122.0",Parnassia,Parnassia palustris,http://ndff-ecogrid.nl/taxonomy/taxa/parnassiapalustris,http://ndff-ecogrid.nl/categories/specieslist/tracheophyta,vaatplanten,tracheophyta
"565",N06.02,Plat blaasjeskruid,Utricularia intermedia,Utricularia intermedia,http://ndff-ecogrid.nl/taxonomy/taxa/utriculariaintermedia,http://ndff-ecogrid.nl/taxonomy/taxa/utriculariaintermedia,NEE,"84547.0",Plat blaasjeskruid,Utricularia intermedia,http://ndff-ecogrid.nl/taxonomy/taxa/utriculariaintermedia,http://ndff-ecogrid.nl/categories/specieslist/tracheophyta,vaatplanten,tracheophyta
"566",N06.02,Ronde zegge,Carex diandra,Carex diandra,http://ndff-ecogrid.nl/taxonomy/taxa/carexdiandra,http://ndff-ecogrid.nl/taxonomy/taxa/carexdiandra,NEE,"13449.0",Ronde zegge,Carex diandra,http://ndff-ecogrid.nl/taxonomy/taxa/carexdiandra,http://ndff-ecogrid.nl/categories/specieslist/tracheophyta,vaatplanten,tracheophyta
"567",N06.02,Rood schorpioenmos,Scorpidium scorpioides,Scorpidium scorpioides,http://ndff-ecogrid.nl/taxonomy/taxa/scorpidiumscorpioides,http://ndff-ecogrid.nl/taxonomy/taxa/scorpidiumscorpioides,NEE,"73043.0",Rood schorpioenmos,Scorpidium scorpioides,http://ndff-ecogrid.nl/taxonomy/taxa/scorpidiumscorpioides,http://ndff-ecogrid.nl/categories/specieslist/mosses,mossen,mosses
"568",N06.02,Ruw kransblad,Chara aspera,Chara aspera,http://ndff-ecogrid.nl/taxonomy/taxa/charaaspera,http://ndff-ecogrid.nl/taxonomy/taxa/charaaspera,NEE,"15535.0",Ruw kransblad,Chara aspera,http://ndff-ecogrid.nl/taxonomy/taxa/charaaspera,http://ndff-ecogrid.nl/categories/specieslist/charales,kranswieren,charales
"569",N06.02,Slank wollegras,Eriophorum gracile,Eriophorum gracile,http://ndff-ecogrid.nl/taxonomy/taxa/eriophorumgracile,http://ndff-ecogrid.nl/taxonomy/taxa/eriophorumgracile,NEE,"29985.0",Slank wollegras,Eriophorum gracile,http://ndff-ecogrid.nl/taxonomy/taxa/eriophorumgracile,http://ndff-ecogrid.nl/categories/specieslist/tracheophyta,vaatplanten,tracheophyta
"570",N06.02,Spaanse ruiter,Cirsium dissectum,Cirsium dissectum,http://ndff-ecogrid.nl/taxonomy/taxa/cirsiumdissectum,http://ndff-ecogrid.nl/taxonomy/taxa/cirsiumdissectum,NEE,"17363.0",Spaanse ruiter,Cirsium dissectum,http://ndff-ecogrid.nl/taxonomy/taxa/cirsiumdissectum,http://ndff-ecogrid.nl/categories/specieslist/tracheophyta,vaatplanten,tracheophyta
"571",N06.02,Sterrengoudmos,Campylium stellatum,Campylium stellatum,http://ndff-ecogrid.nl/taxonomy/taxa/campyliumstellatum,http://ndff-ecogrid.nl/taxonomy/taxa/campyliumstellatum,NEE,"12952.0",Sterrengoudmos,Campylium stellatum,http://ndff-ecogrid.nl/taxonomy/taxa/campyliumstellatum,http://ndff-ecogrid.nl/categories/specieslist/mosses,mossen,mosses
"572",N06.02,Stijf struisriet,Calamagrostis stricta,Calamagrostis stricta,http://ndff-ecogrid.nl/taxonomy/taxa/calamagrostisstricta,http://ndff-ecogrid.nl/taxonomy/taxa/calamagrostisstricta,NEE,"12062.0",Stijf struisriet,Calamagrostis stricta,http://ndff-ecogrid.nl/taxonomy/taxa/calamagrostisstricta,http://ndff-ecogrid.nl/categories/specieslist/tracheophyta,vaatplanten,tracheophyta
"573",N06.02,Trilveenveenmos,Sphagnum contortum,Sphagnum contortum,http://ndff-ecogrid.nl/taxonomy/taxa/sphagnumcontortum,http://ndff-ecogrid.nl/taxonomy/taxa/sphagnumcontortum,NEE,"75224.0",Trilveenveenmos,Sphagnum contortum,http://ndff-ecogrid.nl/taxonomy/taxa/sphagnumcontortum,http://ndff-ecogrid.nl/categories/specieslist/mosses,mossen,mosses
